#GRB 	Redshift 	T90 	log (M*/M☉) 	SFR 	log (Z/Z☉) 	SSFR 	AV
#		[s] 		[M☉ yr^-1] 		[Gyr^-1] 	
GRB 060604 	2.1357 	96.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060602 	0.7870 	74.70 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060526 	3.2213 	13.80 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060522 	5.1100 	69.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060510B 	4.9420 	276.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060505 	0.0889 	4.00 	9.41 	0.43 	 -1.0 0.22 	 -1.0  	0.63
GRB 060418 	1.4890 	52.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060319 	1.1720 	12.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060306 	1.5590 	61.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060223 	4.4060 	11.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
XRF 060218 	0.0335 	999.99 	7.78 	0.05 	 -1.0 0.53 	 -1.0  	0.49
GRB 060210 	3.9130 	220.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060206 	4.0480 	7.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060202 	0.7850 	206.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060124 	2.2960 	300.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060115 	3.5328 	122.20 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060111 	2.3200 	13.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 051221 	0.5464 	1.40 	8.61 	2.61 	 -1.0  	 -1.0  	 -1.0 
GRB 051117B 	0.4810 	9.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 051111 	1.5500 	47.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 051109 	2.3460 	36.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
XRF 051109B 	0.0800 	15.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 051022 	0.8070 	200.00 	10.42 	32.00 	 -1.0 0.20 	 -1.0  	 -1.0 
GRB 051016B 	0.9364 	4.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 051006 	1.0590 	26.00 	10.11 	98.00 	 -1.0  	 -1.0  	1.70
GRB 051001 	2.4296 	190.60 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050922C 	2.1992 	5.00 	 -1.0  	 -1.0  	 -1.0 1.88 	 -1.0  	 -1.0 
GRB 050915 	2.5273 	53.40 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050908 	3.3467 	20.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050904 	6.2950 	225.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050826 	0.2960 	35.00 	9.79 	9.13 	0.14 	 -1.0  	 -1.0 
XRF 050824 	0.8278 	25.00 	 -1.0  	 -1.0  	 -1.0 0.30 	 -1.0  	 -1.0 
XRF 050822 	1.4340 	104.10 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050820 	2.6147 	50.00 	 -1.0  	 -1.0  	 -1.0 0.76 	 -1.0  	 -1.0 
GRB 050819 	2.5043 	37.70 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050730 	3.9680 	155.00 	 -1.0  	 -1.0  	 -1.0 1.96 	 -1.0  	 -1.0 
GRB 050724 	0.2570 	3.00 	10.64 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050714B 	2.4383 	300.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050709 	0.1606 	0.07 	8.66 	0.14 	 -1.0  	 -1.0  	 -1.0 
GRB 050525 	0.6060 	8.80 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050509B 	0.2248 	0.05 	11.08 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050502 	3.7930 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
XRF 050416 	0.6528 	2.40 	9.19 	2.32 	 -1.0  	 -1.0  	 -1.0 
GRB 050408 	1.2357 	34.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050401 	2.8990 	33.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050319 	3.2400 	10.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050318 	1.4436 	40.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050315 	1.9500 	95.60 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050223 	0.5840 	23.00 	9.73 	1.44 	 -1.0  	 -1.0  	 -1.0 
GRB 050219 	0.2110 	23.50 	9.98 	0.06 	 -1.0  	 -1.0  	 -1.0 
XRF 050215B 	2.6200 	7.80 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 050126 	1.2900 	26.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 041006 	0.7120 	24.60 	8.66 	0.34 	 -1.0  	 -1.0  	 -1.0 
GRB 040924 	0.8590 	2.39 	9.20 	1.88 	 -1.0  	 -1.0  	 -1.0 
XRF 040912 	1.5630 	127.00 	 -1.0  	6.30 	 -1.0  	 -1.0  	 -1.0 
GRB 031203 	0.1055 	20.00 	8.82 	12.68 	 -1.0 0.64 	 -1.0  	0.03
XRF 030528 	0.7820 	21.60 	8.82 	15.07 	 -1.0 0.56 	 -1.0  	 -1.0 
XRF 030429 	2.6600 	9.19 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 030329 	0.1680 	50.00 	7.74 	0.11 	 -1.0 0.69 	 -1.0  	 -1.0 
GRB 030328 	1.5200 	92.59 	8.83 	3.20 	 -1.0  	 -1.0  	 -1.0 
GRB 030323 	3.3720 	25.05 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 030226 	1.9860 	22.09 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 021211 	1.0060 	2.67 	8.62 	3.01 	 -1.0  	 -1.0  	 -1.0 
GRB 021004 	2.3304 	100.00 	10.20 	29.00 	 -1.0  	1.80 	 -1.0 
XRF 020903 	0.2510 	32.15 	8.87 	2.65 	 -1.0 0.44 	 -1.0  	0.59
